state,nsoil,psoil,ksoil,temperature,humidity,ph,rainfall,cropprice,crop,yield,totalprice,soiltype
kerala,16,73,19,18.4164562,34.8054103,4.68407924,163.274747,19750,arecanut,0.27,5332.5,loamy
kerala,16,73,19,18.4164562,34.8054103,4.68407924,163.274747,19750,arecanut,0.27,5332.5,inceptisols
uttarpradesh,0,145,205,21.2250344,90.0987777,5.52078314,113.976046,1850,bajra,0.8,1480,desert
uttarpradesh,0,145,205,21.2250344,90.0987777,5.52078314,113.976046,1850,bajra,0.8,1480,alluvial
gujarat,87,54,20,25.6170736,63.4711755,6.5764182,108.830376,1800,bajra,0.48,864,desert
gujarat,87,54,20,25.6170736,63.4711755,6.5764182,108.830376,1800,bajra,0.48,864,alluvial
uttarpradesh,8,120,201,21.1866741,91.1343568,6.32115219,122.233323,1780,bajra,0.8,1424,desert
uttarpradesh,8,120,201,21.1866741,91.1343568,6.32115219,122.233323,1780,bajra,0.8,1424,alluvial
uttarpradesh,69,64,47,40.2119934,94.5076691,6.99347324,186.676232,1830,bajra,0.8,1464,desert
uttarpradesh,69,64,47,40.2119934,94.5076691,6.99347324,186.676232,1830,bajra,0.8,1464,alluvial
gujarat,60,51,36,22.6965779,82.8108886,6.02832155,256.996476,2015,bajra,0.48,967.2,desert
gujarat,60,51,36,22.6965779,82.8108886,6.02832155,256.996476,2015,bajra,0.48,967.2,alluvial
gujarat,78,40,38,26.4642831,83.8564267,7.54987368,248.225649,2080,bajra,0.48,998.4,desert
gujarat,78,40,38,26.4642831,83.8564267,7.54987368,248.225649,2080,bajra,0.48,998.4,alluvial
uttarpradesh,20,8,12,25.2990432,94.9641985,7.2604164,117.973342,1590,bajra,0.8,1272,desert
uttarpradesh,20,8,12,25.2990432,94.9641985,7.2604164,117.973342,1590,bajra,0.8,1272,alluvial
uttarpradesh,20,7,9,29.4774167,91.5780291,7.12913694,111.172749,1840,bajra,0.8,1472,desert
uttarpradesh,20,7,9,29.4774167,91.5780291,7.12913694,111.172749,1840,bajra,0.8,1472,alluvial
uttarpradesh,16,143,197,22.6171161,93.5197837,5.90402645,116.925676,1730,bajra,0.8,1384,desert
uttarpradesh,16,143,197,22.6171161,93.5197837,5.90402645,116.925676,1730,bajra,0.8,1384,alluvial
uttarpradesh,25,143,200,23.8043634,92.8044162,6.02424878,100.619254,1760,bajra,0.8,1408,desert
uttarpradesh,25,143,200,23.8043634,92.8044162,6.02424878,100.619254,1760,bajra,0.8,1408,alluvial
uttarpradesh,98,22,47,29.0726532,91.9153317,6.34140092,28.8356836,1730,bajra,0.8,1384,desert
uttarpradesh,98,22,47,29.0726532,91.9153317,6.34140092,28.8356836,1730,bajra,0.8,1384,alluvial
rajasthan,17,136,195,41.2073362,81.6105102,6.38978328,65.9022746,1740,bajra,0.21,365.4,desert
rajasthan,17,136,195,41.2073362,81.6105102,6.38978328,65.9022746,1740,bajra,0.21,365.4,alluvial
uttarpradesh,9,137,200,21.1215207,90.6878768,5.63668739,102.80172,1730,bajra,0.8,1384,desert
uttarpradesh,9,137,200,21.1215207,90.6878768,5.63668739,102.80172,1730,bajra,0.8,1384,alluvial
rajasthan,21,134,202,10.7230245,80.0213063,6.42541992,65.2982112,1812,bajra,0.21,380.52,desert
rajasthan,21,134,202,10.7230245,80.0213063,6.42541992,65.2982112,1812,bajra,0.21,380.52,alluvial
uttarpradesh,39,64,53,23.0124018,91.0735554,6.5988603,208.335797,1400,bajra,0.8,1120,desert
uttarpradesh,39,64,53,23.0124018,91.0735554,6.5988603,208.335797,1400,bajra,0.8,1120,alluvial
uttarpradesh,47,46,52,23.1945107,91.403016,6.50228947,206.39992,1650,bajra,0.8,1320,desert
uttarpradesh,47,46,52,23.1945107,91.403016,6.50228947,206.39992,1650,bajra,0.8,1320,alluvial
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,desert
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,sandy
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,sandyclayloam
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,black
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,regur
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,inceptisols
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,loamy
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,red
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,alluvial
kerala,4,46,15,31.0127494,62.4039251,3.50475231,63.7719238,3000,banana,6.22,18660,mountains
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,desert
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,sandy
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,sandyclayloam
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,black
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,regur
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,inceptisols
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,loamy
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,red
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,alluvial
kerala,28,35,22,29.5303762,86.7334601,7.15656309,59.8723207,6000,banana,6.22,37320,mountains
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,desert
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,sandy
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,sandyclayloam
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,black
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,regur
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,inceptisols
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,loamy
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,red
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,alluvial
kerala,19,36,22,25.4468907,58.5536357,6.16496284,57.0482661,1800,banana,6.22,11196,mountains
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,desert
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,sandy
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,sandyclayloam
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,black
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,regur
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,inceptisols
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,loamy
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,red
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,alluvial
kerala,30,41,15,24.8320663,44.1708503,5.88509677,52.0810886,4000,banana,6.22,24880,mountains
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,desert
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,sandy
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,sandyclayloam
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,black
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,regur
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,inceptisols
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,loamy
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,red
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,alluvial
uttarpradesh,6,144,198,21.1147867,90.3152869,5.5593636,104.508661,1530,banana,31.38,48011.4,mountains
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,desert
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,sandy
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,sandyclayloam
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,black
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,regur
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,inceptisols
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,loamy
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,red
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,alluvial
uttarpradesh,33,47,46,29.2030089,93.9683404,6.83944383,209.40833,1260,banana,31.38,39538.8,mountains
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,desert
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,sandy
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,sandyclayloam
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,black
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,regur
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,inceptisols
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,loamy
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,red
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,alluvial
uttarpradesh,27,120,200,21.4527867,90.7453192,6.11021882,116.703658,1540,banana,31.38,48325.2,mountains
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,desert
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,sandy
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,sandyclayloam
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,black
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,regur
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,inceptisols
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,loamy
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,red
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,alluvial
kerala,22,44,24,24.3093508,56.3293834,6.03044728,58.9953626,3800,banana,6.22,23636,mountains
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,desert
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,sandy
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,sandyclayloam
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,black
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,regur
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,inceptisols
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,loamy
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,red
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,alluvial
uttarpradesh,110,39,18,24.5479532,75.397527,7.76625976,63.8807986,1300,banana,31.38,40794,mountains
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,desert
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,sandy
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,sandyclayloam
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,black
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,regur
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,inceptisols
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,loamy
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,red
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,alluvial
kerala,1,59,23,27.4685298,87.17649,7.18439883,43.7842098,2700,banana,6.22,16794,mountains
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,desert
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,sandy
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,sandyclayloam
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,black
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,regur
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,inceptisols
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,loamy
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,red
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,alluvial
kerala,27,43,23,31.7044748,56.8542009,5.87533377,44.9431743,4500,banana,6.22,27990,mountains
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,desert
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,sandy
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,sandyclayloam
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,black
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,regur
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,inceptisols
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,loamy
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,red
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,alluvial
kerala,38,56,25,25.7409532,45.3849705,7.88118645,67.4348823,2000,banana,6.22,12440,mountains
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,desert
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,sandy
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,sandyclayloam
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,black
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,regur
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,inceptisols
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,loamy
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,red
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,alluvial
kerala,33,58,24,35.4579048,68.7581053,5.26950421,108.633304,4300,banana,6.22,26746,mountains
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,desert
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,sandy
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,sandyclayloam
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,black
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,regur
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,inceptisols
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,loamy
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,red
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,alluvial
kerala,16,56,17,33.8002003,40.0326241,7.44544488,176.616589,2900,banana,6.22,18038,mountains
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,desert
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,sandy
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,sandyclayloam
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,black
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,regur
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,inceptisols
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,loamy
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,red
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,alluvial
kerala,31,72,17,28.6918047,49.4722535,5.8330317,96.362229,2100,banana,6.22,13062,mountains
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,desert
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,sandy
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,sandyclayloam
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,black
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,regur
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,inceptisols
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,loamy
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,red
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,alluvial
kerala,40,49,17,31.0221587,45.8923945,6.68727523,53.5678331,4200,banana,6.22,26124,mountains
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,desert
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,sandy
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,sandyclayloam
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,black
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,regur
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,inceptisols
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,loamy
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,red
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,alluvial
kerala,20,60,22,29.6505294,42.8983323,6.8765725,186.922605,2400,banana,6.22,14928,mountains
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,desert
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,sandy
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,sandyclayloam
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,black
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,regur
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,inceptisols
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,loamy
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,red
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,alluvial
kerala,17,67,18,31.2192752,56.4686887,5.61151097,129.202865,2250,banana,6.22,13995,mountains
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,desert
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,sandy
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,sandyclayloam
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,black
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,regur
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,inceptisols
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,loamy
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,red
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,alluvial
kerala,5,55,18,33.5087635,45.7097614,7.32209797,126.673811,3050,banana,6.22,18971,mountains
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,desert
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,sandy
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,sandyclayloam
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,black
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,regur
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,inceptisols
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,loamy
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,red
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,alluvial
kerala,11,72,22,29.3773558,44.8229458,6.84274437,172.40168,4800,banana,6.22,29856,mountains
uttarpradesh,16,143,204,23.7147527,91.5333117,5.63133338,121.896166,1100,banana,31.38,34518,desert
uttarpradesh,16,143,204,23.7147527,91.5333117,5.63133338,121.896166,1100,banana,31.38,34518,sandy
